1387658211943, 26,0,0,1755669,449792,434297,366642,320559,982644,486706,734515
1387658212918, 26,0,0,88370,49309,44359,13930,27942,74505,54852,30919
1387658213925, 26,0,0,583628,76900,206028,91715,41440,496169,302150,92084
1387658214916, 51,0,0,248853,50555,8627,30998,30465,25373,35077,20050
1387658215907, 0,0,0,189233,52324,2381,5169,9721,5334,10121,4136
1387658216902, 0,0,0,54958,4084,167,133,722,759,234,211
1387658217878, 0,0,0,6,3,0,0,1,8,2,2
1387658218869, 0,41,60,8,3,32,5,11,22,24,12
1387658219873, 0,53,57,14,22,25,4,14,32,51,9
1387658220864, 0,61,60,9,29,34,9,37,147,135,45
1387658221875, 0,69,57,249,141,67,24,57,529,609,63
1387658222878, 0,60,48,59630,54043,12985,3009,1213,8661,4171,319
1387658223853, 0,61,44,147,157,19,136,73,269,319,157
1387658224881, 0,44,43,604104,272898,31617,13092,7430,39993,18622,9290
1387658225868, 51,44,43,877628,332152,1424,118974,44663,76207,62414,53418
1387658226860, 26,44,43,695290,509438,26888,111754,78552,81098,26238,11341
1387658227866, 51,44,43,1537726,167896,167699,55936,119011,53927,27059,39889
1387658228857, 51,44,43,179665,72160,159956,29800,17167,24939,20868,12445
1387658229852, 26,44,43,498689,66182,23153,43590,10550,48457,24423,7517
1387658230839, 26,44,43,671889,29189,17436,53252,20476,57411,29960,14772
1387658231847, 26,44,43,538411,295557,13419,49952,17215,84490,2583,1430
1387658232842, 26,44,43,325043,38531,22648,51544,11125,54820,2973,4480
1387658233845, 26,44,43,1658144,809853,101541,238203,61626,122956,99925,31131
1387658234820, 26,44,43,627882,79792,3997,110600,4432,13408,14373,14752
1387658235827, 26,44,43,478193,133297,33200,79558,20935,68067,12967,4326
1387658236823, 26,44,43,751333,910788,37273,181505,12208,244931,12978,12102
1387658237811, 26,44,43,885174,13400,10358,69702,7249,12223,9805,3660
1387658238802, 26,44,43,1173274,108843,5219,51052,3718,40424,3307,9070
1387658239809, 26,44,43,193731,135267,8944,98596,18318,46597,3786,965
1387658240804, 26,44,43,2207412,362299,43749,93831,18088,51572,22709,9951
1387658241791, 26,44,43,90041,58375,2019,47488,2660,27349,1944,913
1387658242782, 26,44,43,25817,7035,7379,10026,3126,9946,3267,1179
1387658243794, 26,44,43,502033,88966,17701,20161,7164,14258,4975,2826
1387658244781, 26,44,43,999134,20134,4535,24971,9591,12606,9015,2045
1387658245788, 26,44,43,1515600,1074841,762233,253409,144932,130569,110453,17383
1387658246779, 26,44,43,1423255,91390,29488,89531,43279,19181,24880,7810
1387658247770, 0,29,53,796626,147455,12670,94459,8979,54712,8243,3392
1387658248765, 0,27,51,584297,326410,16831,48630,24988,36108,26368,4986
1387658249752, 0,27,40,1311396,116977,9373,8506,20853,108488,4189,3388
1387658250760, 0,43,47,899849,26573,32670,21670,11903,120719,7154,3240
1387658251735, 26,43,47,23955,2679,3160,6153,645,4945,425,86
1387658252758, 26,43,47,369176,166187,141320,140775,63339,52017,30674,55718
1387658253749, 51,43,47,1246957,206603,58026,144495,127730,115401,104387,62580
1387658254741, 25,43,47,123004,49704,17351,12030,7107,3815,1326,742
1387658255717, 25,43,47,94009,20140,2006,2436,784,236,106,33
1387658256724, 25,43,47,690992,50988,4954,118588,27870,22941,3100,5472
1387658257715, 26,43,47,306167,137220,4298,4862,4389,5478,1810,1382
1387658258722, 0,37,48,1248438,77125,18555,41772,9022,10868,14364,4635
1387658259713, 0,38,60,1394946,205950,40349,183860,30082,52131,24251,3360
1387658260720, 0,27,70,1348873,161143,48497,34193,18736,43359,39004,1834
1387658261711, 26,27,70,842104,430468,407437,274039,29364,232102,143787,44638
1387658262702, 51,27,70,919604,387989,17190,125787,51055,88636,119146,37977
1387658263698, 51,27,70,589071,25585,36358,10315,27760,41664,37154,20862
1387658264701, 51,27,70,1203775,146481,13781,93486,115309,182522,181999,70685
1387658265692, 51,27,70,664983,217335,197569,71647,94736,222503,215289,88321
1387658266683, 51,27,70,295802,25454,4598,8184,24364,9858,21159,9598
1387658267658, 25,27,70,169,136,26,9,11,14,5,3
1387658268665, 25,27,70,3992,1462,462,774,248,233,120,16
1387658269672, 51,27,70,1539219,761711,152213,160094,398717,106325,14863,8590
1387658270668, 0,13,81,570353,80643,127321,32844,22170,24983,3913,4602
1387658271672, 0,17,77,1808973,439950,170250,74286,173315,131302,32988,30751
1387658272663, 0,26,66,1265482,1223064,250553,216313,288198,752391,130168,43944
1387658273654, 0,23,63,1193389,380654,49929,57919,59401,46094,22544,18692
1387658274649, 26,23,63,123032,9888,1008,461,1112,498,582,125
1387658275652, 0,21,54,269310,251194,26667,98650,73772,28977,40274,10221
1387658276643, 0,21,56,1175914,181059,53315,58630,44691,50961,24889,14060
1387658277639, 26,21,56,1859743,260255,102190,57543,65825,29183,48779,17485
1387658278642, 26,21,56,765531,331534,247872,174970,208269,207628,79205,76870
1387658279633, 26,21,56,623602,22274,23735,15826,9688,12740,10823,3886
1387658280624, 26,21,56,1854830,114690,91948,65369,88800,14637,10517,8137
1387658281635, 51,21,56,1425403,110223,202027,98728,162550,203965,151605,122098
1387658282610, 25,21,56,1182772,149058,16373,8548,6372,5663,1614,817
1387658283614, 51,21,56,387142,106129,22273,21875,22415,25678,25415,60919
1387658284605, 51,21,56,544321,89797,12338,46815,36692,7350,18433,21221
1387658285612, 26,21,56,902990,706009,27450,58866,130116,64210,216809,143248
1387658286607, 26,21,56,334555,154508,376594,417929,198648,162577,212067,148383
1387658287594, 26,21,56,234682,21694,25963,15674,4795,7655,7676,7856
1387658288585, 26,21,56,724690,63685,45352,34858,19382,45144,11951,32467
1387658289598, 26,21,56,1808496,488693,163233,287489,435889,170351,170254,121037
1387658290573, 0,8,56,184996,39970,1848,11490,17305,2917,1595,721
1387658291576, 51,8,56,1013017,91644,66500,8430,41648,22531,17687,16885
1387658292567, 51,8,56,1529510,293491,187911,220973,397859,329730,95820,74012
1387658293558, 51,8,56,866432,68804,19937,30730,45481,26049,8256,6350
1387658294549, 0,13,64,266207,43778,27799,28401,13374,24583,7805,1976
1387658295557, 0,23,64,3067770,104070,32163,26235,20162,55880,19468,8560
1387658296548, 0,14,70,68063,36748,34076,17281,11247,4430,3613,2468
1387658297555, 51,14,70,1242038,360605,127648,123710,19825,34543,20624,11775
1387658298550, 51,14,70,170743,293409,111706,64102,273541,99111,134966,56419
1387658299537, 0,13,81,1324864,798562,356691,793197,195335,61929,24117,12860
1387658300528, 0,4,70,840442,70913,3190,11385,10419,5486,1902,1130
1387658301520, 0,1,69,131360,19318,4708,2207,1675,1671,337,398
1387658302527, 0,1,57,626015,362909,30646,58618,19228,14946,13999,5772
1387658303518, 0,1,54,860964,143796,99609,7316,19661,14348,10542,6023
1387658304525, 0,1,54,2110085,664298,89126,106349,202276,37155,42139,17505
